view,scope,element_id,category,near_face_w,fpp,export_dpi,view_scale,cap_applied,pad_x,pad_y,px_count,px_w,px_h,ref_du_ft,ref_dv_ft,ref_aspect,exc_umin_ft,exc_umax_ft,exc_vmin_ft,exc_vmax_ft,worst_ft,worst_px,clipped,touches_image_edge
_E_ HOSPITAL - LEVEL 1_542078,host,450562,Floors,4.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,674787,1012,1122,162.76014019256735,180.36099087633283,0.9024132069897877,-0.6400863194602522,-0.7814310753570908,-0.7513442226539269,-0.7342170300865405,-0.6400863194602522,-4.014955278909254,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,452761,Floors,4.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,515226,708,1451,114.34436370990628,232.78324640180213,0.4912052971051832,-0.6696729654838052,-0.8014249926369246,-0.7550981933080685,-0.7017236239731517,-0.6696729654838052,-4.200538155821311,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,465898,Floors,4.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,123177,804,934,203.66800988889025,195.96427681082963,1.0393119256398822,-0.33801746487246476,-75.15187707876987,-0.7708843936066359,-46.28995991416127,-0.33801746487246476,-2.12022185710454,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,493270,Floors,3.1666666666666714,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,130613,517,516,84.01071747270902,84.03210799715552,0.9997454481988334,-0.7983926927619223,-0.7893326984878399,-0.848307348284493,-0.9202340840103957,-0.7893326984878399,-4.951106418399613,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,493854,Floors,1.1666666666666714,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,53428,372,357,60.93917536778275,58.59746000316426,1.0399627452195375,-0.8195379672995386,-0.8133452258162492,-0.8179124746309867,-0.8646381028447649,-0.8133452258162492,-5.101725515271495,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,494353,Floors,7.5,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,13395,198,293,31.769591681356758,48.327199300130076,0.6573853263057031,-0.007734629923902503,-0.1956047649165953,-0.8154972796020274,-0.8000256571478417,-0.007734629923902503,-0.04851563343764017,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,494700,Floors,5.166666666666671,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,13944,260,241,43.19965385048636,40.18251333220405,1.0750859084731326,-0.9092512136872983,-0.8397683211716185,-0.8548824864765834,-0.9060813454727281,-0.8397683211716185,-5.267464952214343,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,505212,Floors,3.5,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,329427,1203,962,196.2831592790979,156.0433643536642,1.2578757199455934,-2.9308928651575457,-1.5633699458640535,-1.4542492966121472,-1.2217680892304372,-1.2217680892304372,-7.663566757050846,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,505414,Walls,-13.833333333333329,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,1477,284,259,45.28450740978093,41.26652900878133,1.0973665219128217,0.016944345444642295,-0.024605041232575786,-0.06723520649913439,0.09191499674662396,0.09191499674662396,0.5765388045005717,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,505415,Walls,-13.833333333333329,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,573,102,111,16.454599169554143,17.846387762444238,0.922012868294896,-0.019703254562585926,-0.17349322193774697,-0.014750361989683825,-0.1354050580135322,-0.014750361989683825,-0.09252196451603904,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,505416,Walls,-13.833333333333329,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,1460,280,257,44.84532501228745,41.193270766644645,1.0886565736994105,-0.022367556265976418,-0.1838128084226014,-0.1647568655423015,-0.056156135270526875,-0.022367556265976418,-0.14030098031482527,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,505417,Walls,-13.833333333333329,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,550,98,108,16.03365247598333,17.566387080211697,0.9127461670274264,-0.1737947414034693,-0.23615710792029176,-0.1471366726048018,-0.20129461496161127,-0.1471366726048018,-0.9229179603368723,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,505418,Walls,-9.833333333333329,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,202,37,40,5.870811911835432,6.4354025525207135,0.9122680149256344,0.047301885904062146,-0.019369683592600495,-0.0930027170882397,0.0346208285101568,0.047301885904062146,0.2967021021055752,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,505419,Walls,-9.833333333333329,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,1226,237,215,37.89793574110274,34.29921594313069,1.1049213429233735,-0.18228678315347224,0.06819847591111738,0.09376554946692295,-0.11649542390566126,0.09376554946692295,0.5881464364517272,False,False
